indicator,country,countryiso3code,date,value,indicator_code
"School enrollment, primary (% gross)",Austria,AUT,2018,101.370300292969,SE.PRM.ENRR
"School enrollment, primary (% gross)",Austria,AUT,2017,101.104568481445,SE.PRM.ENRR
"School enrollment, primary (% gross)",Austria,AUT,2016,100.428077697754,SE.PRM.ENRR
"School enrollment, primary (% gross)",Azerbaijan,AZE,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Azerbaijan,AZE,2024,105.625024046785,SE.PRM.ENRR
"School enrollment, primary (% gross)",Azerbaijan,AZE,2023,101.979698816442,SE.PRM.ENRR
"School enrollment, primary (% gross)",Azerbaijan,AZE,2022,99.8082977244143,SE.PRM.ENRR
"School enrollment, primary (% gross)",Azerbaijan,AZE,2021,97.7305001044597,SE.PRM.ENRR
"School enrollment, primary (% gross)",Azerbaijan,AZE,2020,98.2360713897839,SE.PRM.ENRR
"School enrollment, primary (% gross)",Azerbaijan,AZE,2019,97.9353503349024,SE.PRM.ENRR
"School enrollment, primary (% gross)",Azerbaijan,AZE,2018,99.7221014157127,SE.PRM.ENRR
"School enrollment, primary (% gross)",Azerbaijan,AZE,2017,103.294100040645,SE.PRM.ENRR
"School enrollment, primary (% gross)",Azerbaijan,AZE,2016,106.431739366993,SE.PRM.ENRR
"School enrollment, primary (% gross)","Bahamas, The",BHS,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)","Bahamas, The",BHS,2024,92.856648199446,SE.PRM.ENRR
"School enrollment, primary (% gross)","Bahamas, The",BHS,2023,78.3931934355663,SE.PRM.ENRR
"School enrollment, primary (% gross)","Bahamas, The",BHS,2022,,SE.PRM.ENRR
"School enrollment, primary (% gross)","Bahamas, The",BHS,2021,80.5237121582031,SE.PRM.ENRR
"School enrollment, primary (% gross)","Bahamas, The",BHS,2020,,SE.PRM.ENRR
"School enrollment, primary (% gross)","Bahamas, The",BHS,2019,91.9375456537619,SE.PRM.ENRR
"School enrollment, primary (% gross)","Bahamas, The",BHS,2018,88.5500765329091,SE.PRM.ENRR
"School enrollment, primary (% gross)","Bahamas, The",BHS,2017,,SE.PRM.ENRR
"School enrollment, primary (% gross)","Bahamas, The",BHS,2016,90.4117265380759,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bahrain,BHR,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bahrain,BHR,2024,96.8752475247525,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bahrain,BHR,2023,93.8998953080421,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bahrain,BHR,2022,96.9927291173487,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bahrain,BHR,2021,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bahrain,BHR,2020,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bahrain,BHR,2019,96.7754137910744,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bahrain,BHR,2018,96.8386151592259,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bahrain,BHR,2017,98.7361755496891,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bahrain,BHR,2016,99.8968591364868,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bangladesh,BGD,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bangladesh,BGD,2024,106.491310395865,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bangladesh,BGD,2023,103.116421399751,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bangladesh,BGD,2022,107.802066750685,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bangladesh,BGD,2021,106.334849059692,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bangladesh,BGD,2020,110.066619873047,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bangladesh,BGD,2019,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bangladesh,BGD,2018,107.18995771035,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bangladesh,BGD,2017,105.128820425409,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bangladesh,BGD,2016,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Barbados,BRB,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Barbados,BRB,2024,83.9370240790286,SE.PRM.ENRR
"School enrollment, primary (% gross)",Barbados,BRB,2023,88.0075687838805,SE.PRM.ENRR
"School enrollment, primary (% gross)",Barbados,BRB,2022,90.1875316776483,SE.PRM.ENRR
"School enrollment, primary (% gross)",Barbados,BRB,2021,92.7709032613596,SE.PRM.ENRR
"School enrollment, primary (% gross)",Barbados,BRB,2020,94.5134829805,SE.PRM.ENRR
"School enrollment, primary (% gross)",Barbados,BRB,2019,94.7561440274338,SE.PRM.ENRR
"School enrollment, primary (% gross)",Barbados,BRB,2018,94.4722209242559,SE.PRM.ENRR
"School enrollment, primary (% gross)",Barbados,BRB,2017,94.3660015740012,SE.PRM.ENRR
"School enrollment, primary (% gross)",Barbados,BRB,2016,95.319325026438,SE.PRM.ENRR
"School enrollment, primary (% gross)",Belarus,BLR,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Belarus,BLR,2024,96.8224030073024,SE.PRM.ENRR
"School enrollment, primary (% gross)",Belarus,BLR,2023,95.2183631035768,SE.PRM.ENRR
"School enrollment, primary (% gross)",Belarus,BLR,2022,95.4307149291864,SE.PRM.ENRR
"School enrollment, primary (% gross)",Belarus,BLR,2021,95.5266437473141,SE.PRM.ENRR
"School enrollment, primary (% gross)",Belarus,BLR,2020,95.5250148309274,SE.PRM.ENRR
"School enrollment, primary (% gross)",Belarus,BLR,2019,97.0494273050719,SE.PRM.ENRR
"School enrollment, primary (% gross)",Belarus,BLR,2018,98.2260831226448,SE.PRM.ENRR
"School enrollment, primary (% gross)",Belarus,BLR,2017,98.9911352828846,SE.PRM.ENRR
"School enrollment, primary (% gross)",Belarus,BLR,2016,99.4165601023018,SE.PRM.ENRR
"School enrollment, primary (% gross)",Belgium,BEL,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Belgium,BEL,2024,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Belgium,BEL,2023,102.108009338379,SE.PRM.ENRR
"School enrollment, primary (% gross)",Belgium,BEL,2022,102.176986694336,SE.PRM.ENRR
"School enrollment, primary (% gross)",Belgium,BEL,2021,101.821136474609,SE.PRM.ENRR
"School enrollment, primary (% gross)",Belgium,BEL,2020,102.064270019531,SE.PRM.ENRR
"School enrollment, primary (% gross)",Belgium,BEL,2019,102.148559570312,SE.PRM.ENRR
"School enrollment, primary (% gross)",Belgium,BEL,2018,102.500366210938,SE.PRM.ENRR
"School enrollment, primary (% gross)",Belgium,BEL,2017,102.752861022949,SE.PRM.ENRR
"School enrollment, primary (% gross)",Belgium,BEL,2016,102.055862426758,SE.PRM.ENRR
"School enrollment, primary (% gross)",Belize,BLZ,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Belize,BLZ,2024,96.4819245941926,SE.PRM.ENRR
"School enrollment, primary (% gross)",Belize,BLZ,2023,97.7874461619187,SE.PRM.ENRR
"School enrollment, primary (% gross)",Belize,BLZ,2022,101.531373116389,SE.PRM.ENRR
"School enrollment, primary (% gross)",Belize,BLZ,2021,107.337270073984,SE.PRM.ENRR
"School enrollment, primary (% gross)",Belize,BLZ,2020,112.251430128031,SE.PRM.ENRR
"School enrollment, primary (% gross)",Belize,BLZ,2019,114.458351316357,SE.PRM.ENRR
"School enrollment, primary (% gross)",Belize,BLZ,2018,114.90527173544,SE.PRM.ENRR
"School enrollment, primary (% gross)",Belize,BLZ,2017,115.629980470942,SE.PRM.ENRR
"School enrollment, primary (% gross)",Belize,BLZ,2016,116.084024666164,SE.PRM.ENRR
"School enrollment, primary (% gross)",Benin,BEN,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Benin,BEN,2024,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Benin,BEN,2023,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Benin,BEN,2022,108.036239624023,SE.PRM.ENRR
"School enrollment, primary (% gross)",Benin,BEN,2021,105.631301879883,SE.PRM.ENRR
"School enrollment, primary (% gross)",Benin,BEN,2020,104.033172607422,SE.PRM.ENRR
"School enrollment, primary (% gross)",Benin,BEN,2019,106.798400878906,SE.PRM.ENRR
"School enrollment, primary (% gross)",Benin,BEN,2018,111.805068969727,SE.PRM.ENRR
"School enrollment, primary (% gross)",Benin,BEN,2017,116.291519165039,SE.PRM.ENRR
"School enrollment, primary (% gross)",Benin,BEN,2016,120.301116943359,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bermuda,BMU,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bermuda,BMU,2024,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bermuda,BMU,2023,92.8512496948242,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bermuda,BMU,2022,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bermuda,BMU,2021,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bermuda,BMU,2020,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bermuda,BMU,2019,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bermuda,BMU,2018,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bermuda,BMU,2017,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bermuda,BMU,2016,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bhutan,BTN,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bhutan,BTN,2024,114.881123575514,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bhutan,BTN,2023,106.687397950258,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bhutan,BTN,2022,105.266151405341,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bhutan,BTN,2021,105.461046747645,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bhutan,BTN,2020,103.826009511759,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bhutan,BTN,2019,97.989926908949,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bhutan,BTN,2018,99.3060254263897,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bhutan,BTN,2017,99.7447717881834,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bhutan,BTN,2016,101.324020385742,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bolivia,BOL,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bolivia,BOL,2024,93.6766510009766,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bolivia,BOL,2023,98.5726894625786,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bolivia,BOL,2022,99.1960878877715,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bolivia,BOL,2021,98.4694228398409,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bolivia,BOL,2020,98.2369486079625,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bolivia,BOL,2019,97.6714741591375,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bolivia,BOL,2018,97.122722190495,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bolivia,BOL,2017,96.4475043810472,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bolivia,BOL,2016,95.5387659267627,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bosnia and Herzegovina,BIH,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bosnia and Herzegovina,BIH,2024,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bosnia and Herzegovina,BIH,2023,101.194877624512,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bosnia and Herzegovina,BIH,2022,101.604507446289,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bosnia and Herzegovina,BIH,2021,101.168617248535,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bosnia and Herzegovina,BIH,2020,100.263931274414,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bosnia and Herzegovina,BIH,2019,100.929710388184,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bosnia and Herzegovina,BIH,2018,99.7165832519531,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bosnia and Herzegovina,BIH,2017,98.2435989379883,SE.PRM.ENRR
"School enrollment, primary (% gross)",Bosnia and Herzegovina,BIH,2016,96.1386337280273,SE.PRM.ENRR
"School enrollment, primary (% gross)",Botswana,BWA,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Botswana,BWA,2024,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Botswana,BWA,2023,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Botswana,BWA,2022,109.27325614686,SE.PRM.ENRR
"School enrollment, primary (% gross)",Botswana,BWA,2021,104.619979858398,SE.PRM.ENRR
"School enrollment, primary (% gross)",Botswana,BWA,2020,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Botswana,BWA,2019,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Botswana,BWA,2018,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Botswana,BWA,2017,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Botswana,BWA,2016,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Brazil,BRA,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Brazil,BRA,2024,104.296913146973,SE.PRM.ENRR
"School enrollment, primary (% gross)",Brazil,BRA,2023,,SE.PRM.ENRR
"School enrollment, primary (% gross)",Brazil,BRA,2022,104.667419433594,SE.PRM.ENRR
"School enrollment, primary (% gross)",Brazil,BRA,2021,103.929397583008,SE.PRM.ENRR
"School enrollment, primary (% gross)",Brazil,BRA,2020,105.912231445312,SE.PRM.ENRR
"School enrollment, primary (% gross)",Brazil,BRA,2019,107.682991027832,SE.PRM.ENRR
"School enrollment, primary (% gross)",Brazil,BRA,2018,108.720008850098,SE.PRM.ENRR
"School enrollment, primary (% gross)",Brazil,BRA,2017,109.788749694824,SE.PRM.ENRR
"School enrollment, primary (% gross)",Brazil,BRA,2016,108.583656311035,SE.PRM.ENRR
"School enrollment, primary (% gross)",British Virgin Islands,VGB,2025,,SE.PRM.ENRR
"School enrollment, primary (% gross)",British Virgin Islands,VGB,2024,72.7799911499023,SE.PRM.ENRR
"School enrollment, primary (% gross)",British Virgin Islands,VGB,2023,87.3165618448637,SE.PRM.ENRR
"School enrollment, primary (% gross)",British Virgin Islands,VGB,2022,73.1715698242188,SE.PRM.ENRR
"School enrollment, primary (% gross)",British Virgin Islands,VGB,2021,92.6870177792687,SE.PRM.ENRR
"School enrollment, primary (% gross)",British Virgin Islands,VGB,2020,86.852207293666,SE.PRM.ENRR
"School enrollment, primary (% gross)",British Virgin Islands,VGB,2019,85.2448853068816,SE.PRM.ENRR
"School enrollment, primary (% gross)",British Virgin Islands,VGB,2018,78.5891858297079,SE.PRM.ENRR
